Source,Target,Type,Weight,context
P01,P03,Directed,1,club
P01,P04,Directed,4,club
P01,P07,Directed,1,club
P02,P07,Directed,1,club
P02,P10,Directed,4,club
P03,P02,Directed,2,neighborhood
P03,P05,Directed,4,club
P04,P03,Directed,4,club
P04,P06,Directed,4,club
P04,P10,Directed,4,club
P04,P50,Directed,2,club
P05,P07,Directed,4,club
P05,P09,Directed,4,family
P05,P33,Directed,4,club
P05,P39,Directed,2,club
P06,P04,Directed,2,club
P06,P05,Directed,1,club
P06,P08,Directed,4,neighborhood
P06,P10,Directed,2,club
P07,P01,Directed,1,club
P07,P05,Directed,4,club
P07,P08,Directed,1,club
P07,P10,Directed,2,neighborhood
P08,P01,Directed,4,club
P08,P04,Directed,4,club
P08,P09,Directed,4,club
P09,P06,Directed,2,club
P09,P08,Directed,2,neighborhood
P10,P05,Directed,4,club
P10,P09,Directed,4,family
P11,P13,Directed,20,work
P11,P22,Directed,2,neighborhood
P11,P33,Directed,4,club
P11,P39,Directed,2,club
P11,P44,Directed,1,club
P12,P13,Directed,4,family
P12,P15,Directed,10,work
P12,P17,Directed,4,work
P12,P20,Directed,4,work
P13,P15,Directed,10,work
P13,P17,Directed,10,work
P13,P18,Directed,4,work
P13,P19,Directed,10,work
P14,P11,Directed,10,work
P14,P15,Directed,4,work
P14,P16,Directed,10,work
P15,P11,Directed,4,work
P15,P19,Directed,20,work
P15,P20,Directed,20,work
P16,P13,Directed,20,work
P16,P15,Directed,10,work
P16,P19,Directed,20,neighborhood
P17,P15,Directed,20,work
P17,P18,Directed,10,work
P18,P12,Directed,10,work
P18,P13,Directed,4,neighborhood
P18,P23,Directed,2,school
P18,P29,Directed,4,school
P19,P15,Directed,20,work
P19,P18,Directed,10,family
P19,P20,Directed,20,work
P20,P11,Directed,4,work
P20,P19,Directed,20,work
P21,P22,Directed,4,school
P21,P23,Directed,10,school
P21,P28,Directed,10,school
P21,P30,Directed,10,school
P21,P31,Directed,1,neighborhood
P22,P11,Directed,2,neighborhood
P22,P21,Directed,4,school
P22,P28,Directed,2,school
P22,P29,Directed,4,school
P23,P25,Directed,10,school
P23,P27,Directed,4,school
P23,P30,Directed,2,family
P24,P25,Directed,2,school
P24,P30,Directed,10,school
P25,P28,Directed,10,school
P25,P29,Directed,10,school
P26,P21,Directed,4,school
P26,P25,Directed,4,school
P26,P27,Directed,4,school
P26,P30,Directed,4,school
P27,P23,Directed,10,school
P27,P26,Directed,4,school
P27,P28,Directed,10,school
P27,P30,Directed,10,school
P28,P21,Directed,10,school
P28,P24,Directed,4,school
P28,P27,Directed,10,school
P28,P30,Directed,10,school
P29,P18,Directed,4,school
P29,P22,Directed,10,school
P29,P23,Directed,4,school
P29,P27,Directed,2,school
P29,P28,Directed,2,school
P30,P23,Directed,4,school
P30,P25,Directed,10,school
P31,P21,Directed,2,neighborhood
P31,P34,Directed,2,neighborhood
P31,P36,Directed,2,club
P31,P37,Directed,4,club
P31,P40,Directed,4,club
P32,P33,Directed,4,club
P32,P37,Directed,4,neighborhood
P32,P39,Directed,2,club
P33,P05,Directed,4,club
P33,P11,Directed,4,club
P33,P34,Directed,4,club
P33,P35,Directed,4,club
P33,P39,Directed,10,neighborhood
P34,P35,Directed,10,club
P34,P37,Directed,4,neighborhood
P35,P31,Directed,4,club
P35,P32,Directed,4,family
P35,P38,Directed,4,club
P36,P35,Directed,4,neighborhood
P36,P37,Directed,4,neighborhood
P36,P38,Directed,2,club
P37,P32,Directed,4,neighborhood
P37,P36,Directed,2,club
P37,P40,Directed,2,club
P38,P31,Directed,4,club
P38,P39,Directed,2,club
P39,P31,Directed,10,family
P39,P32,Directed,4,club
P39,P33,Directed,4,club
P39,P36,Directed,4,club
P40,P35,Directed,10,club
P40,P37,Directed,2,club
P41,P44,Directed,1,club
P41,P48,Directed,2,club
P42,P41,Directed,4,club
P42,P43,Directed,2,neighborhood
P42,P44,Directed,2,club
P42,P48,Directed,1,club
P43,P45,Directed,1,neighborhood
P43,P46,Directed,1,club
P43,P48,Directed,1,neighborhood
P43,P49,Directed,2,club
P44,P11,Directed,1,club
P44,P47,Directed,4,family
P44,P50,Directed,2,club
P45,P46,Directed,1,club
P45,P50,Directed,1,neighborhood
P46,P42,Directed,1,neighborhood
P46,P44,Directed,1,club
P46,P47,Directed,2,club
P47,P45,Directed,2,club
P47,P46,Directed,1,neighborhood
P48,P42,Directed,2,club
P48,P44,Directed,2,club
P49,P41,Directed,2,club
P49,P43,Directed,1,club
P49,P50,Directed,1,neighborhood
P50,P04,Directed,2,club
P50,P09,Directed,1,club
P50,P44,Directed,2,neighborhood
P50,P47,Directed,1,neighborhood
P50,P48,Directed,1,club
