Source,Target,Type,Weight,avg_flight_min
ATL,BOS,Directed,19,151
ATL,CLT,Directed,21,57
ATL,DEN,Directed,19,180
ATL,DFW,Directed,27,124
ATL,IAD,Directed,19,97
ATL,IAH,Directed,18,114
ATL,JFK,Directed,20,126
ATL,LAX,Directed,26,271
ATL,MIA,Directed,26,104
ATL,ORD,Directed,24,104
ATL,PHL,Directed,15,116
ATL,PHX,Directed,16,226
ATL,SEA,Directed,15,300
BOS,ATL,Directed,20,147
BOS,DEN,Directed,8,252
BOS,DFW,Directed,14,225
BOS,DTW,Directed,11,110
BOS,IAD,Directed,15,82
BOS,JFK,Directed,29,53
BOS,MSP,Directed,7,170
BOS,ORD,Directed,26,138
BOS,SFO,Directed,12,368
CLT,ATL,Directed,21,57
CLT,DFW,Directed,12,147
CLT,ORD,Directed,12,105
CLT,PHL,Directed,12,84
DEN,ATL,Directed,21,181
DEN,BOS,Directed,8,250
DEN,DFW,Directed,23,109
DEN,EWR,Directed,9,227
DEN,IAD,Directed,8,212
DEN,IAH,Directed,15,140
DEN,LAS,Directed,17,109
DEN,LAX,Directed,24,137
DEN,MSP,Directed,12,115
DEN,ORD,Directed,26,141
DEN,PHX,Directed,16,106
DEN,SEA,Directed,16,156
DEN,SFO,Directed,21,150
DEN,SLC,Directed,19,79
DFW,ATL,Directed,27,120
DFW,BOS,Directed,16,223
DFW,CLT,Directed,14,144
DFW,DEN,Directed,21,109
DFW,LAS,Directed,17,159
DFW,LAX,Directed,26,184
DFW,MIA,Directed,12,171
DFW,ORD,Directed,22,131
DFW,PHX,Directed,18,139
DFW,SEA,Directed,13,234
DFW,SLC,Directed,11,150
DTW,BOS,Directed,10,109
DTW,LAX,Directed,8,277
DTW,MSP,Directed,10,95
DTW,ORD,Directed,16,59
EWR,DEN,Directed,9,233
EWR,IAH,Directed,12,204
EWR,ORD,Directed,23,120
EWR,SFO,Directed,16,350
IAD,ATL,Directed,18,99
IAD,BOS,Directed,16,83
IAD,DEN,Directed,10,212
IAH,ATL,Directed,19,115
IAH,DEN,Directed,16,139
IAH,EWR,Directed,16,204
IAH,LAX,Directed,14,201
JFK,ATL,Directed,20,126
JFK,BOS,Directed,30,53
JFK,LAX,Directed,34,340
JFK,MIA,Directed,29,165
JFK,ORD,Directed,22,123
JFK,SEA,Directed,8,329
JFK,SFO,Directed,24,354
LAS,DEN,Directed,16,110
LAS,DFW,Directed,15,162
LAS,LAX,Directed,23,61
LAS,ORD,Directed,15,218
LAX,ATL,Directed,26,273
LAX,DEN,Directed,26,138
LAX,DFW,Directed,23,186
LAX,DTW,Directed,12,278
LAX,IAH,Directed,13,200
LAX,JFK,Directed,35,338
LAX,LAS,Directed,21,60
LAX,MIA,Directed,14,320
LAX,ORD,Directed,24,249
LAX,PHX,Directed,21,78
LAX,SEA,Directed,22,149
LAX,SFO,Directed,32,71
MIA,ATL,Directed,27,104
MIA,DFW,Directed,13,170
MIA,JFK,Directed,30,167
MIA,LAX,Directed,14,322
MSP,BOS,Directed,9,170
MSP,DEN,Directed,12,114
MSP,DTW,Directed,12,94
MSP,ORD,Directed,23,71
MSP,SEA,Directed,9,204
MSP,SLC,Directed,9,156
ORD,ATL,Directed,22,106
ORD,BOS,Directed,23,137
ORD,CLT,Directed,13,104
ORD,DEN,Directed,28,141
ORD,DFW,Directed,24,128
ORD,DTW,Directed,16,58
ORD,EWR,Directed,23,118
ORD,JFK,Directed,20,124
ORD,LAS,Directed,19,216
ORD,LAX,Directed,25,247
ORD,MSP,Directed,23,70
ORD,PHL,Directed,19,115
ORD,SEA,Directed,15,244
ORD,SFO,Directed,20,262
ORD,SLC,Directed,12,185
PHL,ATL,Directed,16,113
PHL,CLT,Directed,14,88
PHL,ORD,Directed,17,116
PHX,ATL,Directed,15,227
PHX,DEN,Directed,19,106
PHX,DFW,Directed,18,137
PHX,LAX,Directed,19,77
PHX,SEA,Directed,11,168
SEA,ATL,Directed,12,300
SEA,DEN,Directed,17,157
SEA,DFW,Directed,14,238
SEA,JFK,Directed,9,333
SEA,LAX,Directed,22,148
SEA,MSP,Directed,12,206
SEA,ORD,Directed,15,244
SEA,PHX,Directed,9,166
SEA,SFO,Directed,21,116
SEA,SLC,Directed,8,117
SFO,BOS,Directed,8,366
SFO,DEN,Directed,21,150
SFO,EWR,Directed,17,350
SFO,JFK,Directed,23,354
SFO,LAX,Directed,29,74
SFO,ORD,Directed,23,261
SFO,SEA,Directed,23,116
SLC,DEN,Directed,16,79
SLC,DFW,Directed,12,154
SLC,MSP,Directed,9,156
SLC,ORD,Directed,9,185
SLC,SEA,Directed,9,113
