airport,vendor,rating
JFK,Pretzel Stop,Unhealthy
DFW,Burger Barn,unhealthy
CLT,Burger Barn,Unhealthy
IAH,Burger Barn,unhealthy
SFO,Burger Barn,unhealthy
SFO,Juice Press Bar,Healthy
MSP,Poke Point,Healthy
ORD,Hot Dog Stand,UNHEALTHY
CLT,Pizza Corner,Unhealthy
SFO,Poke Point,Healthy
EWR,Yogurt Stand,HEALTHY
ATL,Cinnamon Roll Co,UNHEALTHY
LAS,Harvest Grain Kitchen,Healthy
LAX,Green Bowl Salads,Healthy
ATL,Pizza Corner,unhealthy
CLT,Cinnamon Roll Co,Unhealthy
DTW,Pretzel Stop,UNHEALTHY
IAD,Cinnamon Roll Co,UNHEALTHY
BOS,Veggie Burrito Bar,Healthy
PHX,Veggie Burrito Bar,Healthy
mia,Harvest Grain Kitchen,Healthy
LAX,Burger Barn,Unhealthy
DEN,Poke Point,HEALTHY
mia,Hot Dog Stand,UNHEALTHY
DEN,Soup and Greens,Healthy
IAH,Pretzel Stop,Unhealthy
MSP,Veggie Burrito Bar,Healthy
ORD,Milkshake Bar,UNHEALTHY
PHX,Cinnamon Roll Co,Unhealthy
ORD,Fried Chicken Shack,unhealthy
PHL,Burger Barn,UNHEALTHY
ATL,Sushi Sky,HEALTHY
EWR,Sushi Sky,healthy
SEA,Sushi Sky,Healthy
DEN,Donut Depot,UNHEALTHY
SEA,Juice Press Bar,HEALTHY
DEN,Fresh Fruit Cart,Healthy
SLC,Juice Press Bar,Healthy
LAS,Soup and Greens,HEALTHY
SEA,Yogurt Stand,healthy
SFO,Milkshake Bar,UNHEALTHY
SLC,Sushi Sky,Healthy
MSP,Green Bowl Salads,HEALTHY
ORD,Candy Kiosk,Unhealthy
EWR,Wing Hut,Unhealthy
MSP,Nacho Cantina,unhealthy
SEA,Poke Point,Healthy
BOS,Soup and Greens,Healthy
LAS,Milkshake Bar,Unhealthy
EWR,Burger Barn,unhealthy
CLT,Fried Chicken Shack,UNHEALTHY
PHL,Green Bowl Salads,Healthy
SFO,Mediterranean Wrap Co,healthy
JFK,Milkshake Bar,Unhealthy
DFW,Cinnamon Roll Co,Unhealthy
CLT,Poke Point,Healthy
ATL,Poke Point,Healthy
mia,Pizza Corner,Unhealthy
LAS,Hot Dog Stand,Unhealthy
mia,Milkshake Bar,Unhealthy
LAX,Yogurt Stand,Healthy
mia,Wing Hut,UNHEALTHY
DTW,Sushi Sky,HEALTHY
DTW,Green Bowl Salads,HEALTHY
SLC,Pretzel Stop,Unhealthy
SFO,Sushi Sky,healthy
SLC,Milkshake Bar,Unhealthy
DEN,Noodle Counter,
BOS,Milkshake Bar,unhealthy
EWR,Pizza Corner,Unhealthy
MIA,Cuban Coffee Window,
EWR,Donut Depot,Unhealthy
ORD,Poke Point,HEALTHY
SLC,Yogurt Stand,healthy
DTW,Donut Depot,Unhealthy
JFK,Poke Point,Healthy
BOS,Sushi Sky,Healthy
PHX,Wing Hut,Unhealthy
PHL,Yogurt Stand,healthy
PHL,Fried Chicken Shack,UNHEALTHY
DEN,Yogurt Stand,Healthy
IAD,Sushi Sky,Healthy
DFW,Pizza Corner,UNHEALTHY
IAH,Poke Point,HEALTHY
PHX,Burger Barn,Unhealthy
SLC,Fresh Fruit Cart,Healthy
ATL,Soup and Greens,Healthy
PHX,Milkshake Bar,unhealthy
ORD,Wing Hut,UNHEALTHY
LAX,Juice Press Bar,Healthy
BOS,Poke Point,Healthy
LAX,Donut Depot,UNHEALTHY
MSP,Soup and Greens,Healthy
IAH,Nacho Cantina,Unhealthy
SEA,Milkshake Bar,Unhealthy
IAD,Fresh Fruit Cart,Healthy
IAH,Candy Kiosk,Unhealthy
DFW,Fried Chicken Shack,Unhealthy
JFK,Juice Press Bar,healthy
ATL,Donut Depot,Unhealthy
IAD,Hot Dog Stand,Unhealthy
IAD,Donut Depot,Unhealthy
JFK,Pizza Corner,Unhealthy
DFW,Juice Press Bar,healthy
LAS,Cinnamon Roll Co,Unhealthy
LAS,Pizza Corner,Unhealthy
LAX,Cinnamon Roll Co,Unhealthy
PHX,Fried Chicken Shack,Unhealthy
