flight_no,carrier,date,origin,dest,sched_dep,air_time_min,delay_min
SK460,SK,2026-08-23,lax,ORD,19:20,245,2
SK451,SK,2026-08-21,SFO,ORD,06:30,273,2
PR506,PR,2026-08-20,ORD,SFO,05:50,263,35
BW292,BW,2026-08-19,ATL,IAD,07:15,96,-3
PR750,PR,2026-08-22,SFO,LAX,11:35,72,44
SK468,SK,2026-08-23,ORD,MSP,12:55,75,-6
BW621,BW,2026-08-17,SEA,DEN,14:30,142,4
AU622,AU,2026-08-18,PHX,DEN,16:15,108,-6
PR266,PR,2026-08-20,EWR,SFO,13:55,346,-2
AU707,AU,2026-08-20,LAX,SEA,17:45,156,17
PR516,PR,2026-08-19,ORD,LAX,08:10,249,8
BW628,BW,2026-08-19,PHX,LAX,12:15,69,-4
AU576,AU,2026-08-18,DFW,PHX,10:45,141,13
PR167,PR,8/19/2026,DEN,BOS,05:15,248,14
AU264,AU,2026-08-17,IAH,EWR ,08:40,205,14
PR759,PR,2026-08-17,SEA,LAX,09:20,149,14
BW453,BW,2026-08-20,MSP,ORD,20:50,68,4
BW185,BW,8/18/2026,SFO,JFK,10:10,352,13
PR125,PR,2026-08-23,IAD,BOS,06:20,91,8
SK456,SK,2026-08-23,ORD,LAX,14:35,240,3
AU214,AU,2026-08-19,ATL,JFK,05:50,127,101
AU603,AU,2026-08-21,IAH,LAX,09:10,202,39
AU503,AU,8/23/2026,LAS,ORD,20:40,216,14
BW400,BW,2026-08-23,ORD,DEN,18:40,149,-7
SK509,SK,2026-08-18,MSP,DEN,14:35,116,-2
PR407,PR,2026-08-22,ATL,LAX,09:15,280,32
SK176,SK,2026-08-23,jfk,LAX,05:45,342,35
BW200,BW,2026-08-18,MIA,JFK,10:20,170,13
PR364,PR,8/21/2026,ATL,MIA,06:05,90,-5
AU203,AU,2026-08-19,MIA,JFK,18:00,161,
BW573,BW,2026-08-23,DEN,SLC,17:15,78,-6
AU717,AU,2026-08-17,SEA,LAX,15:15,147,7
BW360,BW,2026-08-23,LAX,ATL,05:10,273,6
BW602,BW,2026-08-17,DEN,SFO,10:35,147,-8
SK500,SK,2026-08-17,DTW,MSP,19:15,102,7
SK159,SK,2026-08-22,DEN,BOS,21:30,251,13
SK355,SK,2026-08-20, Atl,CLT,10:45,64,-7
AU469,AU,2026-08-17,MSP,ORD,07:30,79,14
BW374,BW,2026-08-19,ATL ,IAH,16:10,112,68
PR460,PR,8/23/2026,DFW,CLT,09:30,145,4
PR426,PR,2026-08-23,ATL,IAH,13:35,125,12
BW554,BW,2026-08-19,SLC,DFW,09:25,149,14
SK677,SK,2026-08-20,LAX,PHX,13:10,70,8
BW646,BW,2026-08-23,LAS,LAX,05:40,65,-6
PR160,PR,2026-08-19,BOS ,MSP,17:15,170,-6
SK742,SK,8/21/2026,SEA,SFO,14:40,109,44
BW248,BW,2026-08-21,SFO,EWR,12:10,346,-1
AU285,AU,2026-08-22,IAD,ATL,11:35,103,31
BW105,BW,2026-08-18,JFK,BOS,20:05,46,8
BW572,BW,2026-08-22,DEN,SLC,18:35,77,-6
PR140,PR,2026-08-19,BOS,ORD,07:05,136,-3
SK135,SK,2026-08-20,ATL,BOS,17:00,150,-7
SK448,SK,8/17/2026,SFO,ORD,09:55,259,-1
BW380,BW,2026-08-17,CLT,ORD,09:35,94,6
PR216,PR,2026-08-20,MIA,JFK,21:30,164,-8
AU287,AU,2026-08-22,IAD,ATL,10:50,97,56
PR653,PR,2026-08-22,SLC,DFW,21:25,156,n/a
AU384,AU,2026-08-23,ATL,PHX,09:00,227,13
BW287,BW,2026-08-23,CLT,PHL,14:00,85,-7
AU459,AU,2026-08-20,LAX,ORD,08:55,252,-6
SK542,SK,2026-08-20,LAX,DFW,16:25,185,37
PR369,PR,8/21/2026,MIA,ATL,21:35,88,1
AU368,AU,2026-08-17,SEA,ATL,19:25,296,-7
SK330,SK,2026-08-21,ORD,ATL ,08:55,111,32
SK138,SK,2026-08-21,BOS,ORD,07:40,143,12
PR349,PR,2026-08-19,DFW,ATL,14:55,125,12
BW533,BW,2026-08-17,LAX,DFW,17:05,182,-4
BW447,BW,2026-08-21, Ord,MSP ,14:55,55,-7
AU524,AU,2026-08-18,DEN,MSP ,17:45,113,8
PR169,PR,2026-08-19,BOS,DFW ,21:40,235,2
BW355,BW,2026-08-19,ATL,LAX,09:30,282,7
AU134,AU,2026-08-20,ATL,BOS,19:20,145,40
