Source,Target,Type,Weight,avg_duration_min,ebike_share
5160.04,5307.10,Directed,3,11.8,0.67
5160.04,5891.11,Directed,8,7.7,0.25
5160.04,6088.11,Directed,10,5.0,0.7
5160.04,6202.07,Directed,4,8.6,0.25
5160.04,6359.12,Directed,7,8.7,0.0
5160.04,6419.19,Directed,9,12.4,0.11
5160.04,6462.07,Directed,5,17.6,0.2
5160.04,6594.06,Directed,6,11.1,0.33
5160.04,6732.19,Directed,5,11.6,0.4
5183.03,5307.10,Directed,6,4.0,0.33
5183.03,5428.06,Directed,6,10.2,0.17
5183.03,5891.11,Directed,7,9.1,0.29
5183.03,5906.08,Directed,11,4.7,0.27
5183.03,6115.16,Directed,14,3.9,0.36
5183.03,6173.11,Directed,11,6.6,0.0
5183.03,6594.06,Directed,18,11.9,0.22
5183.03,6650.03,Directed,6,9.9,0.0
5183.03,6679.12,Directed,14,10.6,0.5
5183.03,6711.03,Directed,14,13.7,0.29
5183.03,6741.09,Directed,10,18.8,0.4
5183.03,6917.09,Directed,13,16.8,0.54
5307.10,5160.04,Directed,6,12.2,0.33
5307.10,5183.03,Directed,10,4.5,0.3
5307.10,5428.06,Directed,3,11.1,0.33
5307.10,5431.02,Directed,16,9.7,0.38
5307.10,6359.12,Directed,12,12.7,0.33
5307.10,6419.19,Directed,15,15.7,0.27
5307.10,6732.19,Directed,12,13.2,0.42
5307.10,6917.09,Directed,9,18.7,0.11
5428.06,5183.03,Directed,8,9.0,0.25
5428.06,5431.02,Directed,4,18.2,0.25
5428.06,5891.11,Directed,6,14.7,0.17
5428.06,5906.08,Directed,15,6.0,0.47
5428.06,6060.05,Directed,8,20.7,0.12
5428.06,6115.16,Directed,5,8.4,0.0
5428.06,6202.07,Directed,5,15.7,0.0
5428.06,6419.19,Directed,4,21.6,0.25
5428.06,6462.07,Directed,6,20.7,0.17
5428.06,6679.12,Directed,15,8.7,0.27
5428.06,6881.14,Directed,4,20.4,0.5
5431.02,5307.10,Directed,6,9.5,0.17
5431.02,5428.06,Directed,5,17.2,0.2
5431.02,6056.19,Directed,8,20.2,0.25
5431.02,6115.16,Directed,14,11.5,0.21
5431.02,6186.15,Directed,3,26.0,0.0
5431.02,6253.07,Directed,9,7.1,0.11
5431.02,6594.06,Directed,12,4.1,0.17
5431.02,6711.03,Directed,13,7.4,0.08
5431.02,6732.19,Directed,10,6.6,0.1
5431.02,6741.16,Directed,12,7.5,0.42
5431.02,6785.05,Directed,10,7.8,0.3
5734.15,6000.10,Directed,10,7.6,0.6
5734.15,6056.19,Directed,10,5.6,0.3
5734.15,6088.11,Directed,5,23.2,0.2
5734.15,6186.15,Directed,4,9.0,0.25
5734.15,6419.19,Directed,26,14.2,0.31
5734.15,6711.03,Directed,21,12.3,0.19
5734.15,6741.16,Directed,21,10.8,0.19
5734.15,6785.05,Directed,10,11.9,0.2
5891.11,5160.04,Directed,4,4.9,0.0
5891.11,5183.03,Directed,10,8.4,0.3
5891.11,5428.06,Directed,4,15.6,0.0
5891.11,6088.11,Directed,12,5.1,0.42
5891.11,6359.12,Directed,13,8.9,0.23
5891.11,6711.03,Directed,15,14.7,0.47
5906.08,5183.03,Directed,14,5.1,0.5
5906.08,5428.06,Directed,6,6.2,0.5
5906.08,6115.16,Directed,14,5.0,0.43
5906.08,6173.11,Directed,11,9.3,0.27
5906.08,6253.07,Directed,7,13.7,0.29
5906.08,6419.19,Directed,20,18.2,0.3
5906.08,6462.07,Directed,8,21.2,0.25
5906.08,6650.03,Directed,11,6.9,0.18
5906.08,6679.12,Directed,18,8.0,0.22
5906.08,6785.05,Directed,12,19.2,0.33
5906.08,6917.09,Directed,13,15.5,0.31
6000.10,5734.15,Directed,4,8.3,0.0
6000.10,6056.19,Directed,10,5.0,0.3
6000.10,6186.15,Directed,6,6.5,0.33
6000.10,6253.07,Directed,3,26.2,0.33
6000.10,6462.07,Directed,11,14.1,0.36
6000.10,6711.03,Directed,11,16.6,0.27
6000.10,6741.16,Directed,10,16.6,0.1
6000.10,6785.05,Directed,7,17.3,0.0
6056.19,5431.02,Directed,12,17.8,0.58
6056.19,5734.15,Directed,11,5.8,0.36
6056.19,6000.10,Directed,13,4.9,0.23
6056.19,6173.11,Directed,4,24.1,0.5
6056.19,6186.15,Directed,6,6.4,0.17
6056.19,6419.19,Directed,10,18.0,0.5
6056.19,6462.07,Directed,13,12.7,0.23
6056.19,6679.12,Directed,3,34.2,0.0
6056.19,6741.16,Directed,11,14.2,0.36
6060.05,5428.06,Directed,6,19.1,0.33
6060.05,6650.03,Directed,3,17.9,0.33
6060.05,6679.12,Directed,6,12.5,0.5
6060.05,6741.09,Directed,6,5.0,0.67
6060.05,6881.14,Directed,4,7.0,0.25
6060.05,6917.09,Directed,14,5.8,0.29
6088.11,5160.04,Directed,6,4.1,0.5
6088.11,5891.11,Directed,7,4.2,0.14
6088.11,6115.16,Directed,13,11.1,0.31
6088.11,6253.07,Directed,9,4.2,0.11
6088.11,6359.12,Directed,9,7.0,0.44
6088.11,6650.03,Directed,5,10.7,0.4
6088.11,6679.12,Directed,3,17.4,0.33
6088.11,6785.05,Directed,3,14.6,0.0
6115.16,5183.03,Directed,15,3.6,0.47
6115.16,5428.06,Directed,6,9.3,0.67
6115.16,5431.02,Directed,13,11.7,0.38
6115.16,5906.08,Directed,19,5.4,0.26
6115.16,6000.10,Directed,3,27.7,0.67
6115.16,6088.11,Directed,4,11.6,0.0
6115.16,6202.07,Directed,12,10.0,0.25
6115.16,6359.12,Directed,11,11.7,0.27
6115.16,6419.19,Directed,12,15.7,0.5
