ride_id,rideable_type,started_at,ended_at,start_station_name,start_station_id,end_station_name,end_station_id,start_lat,start_lng,end_lat,end_lng,member_casual
R90400001,classic_bike,2026-08-17 00:15:31,2026-08-17 00:22:51,Broadway and W 41 St,6732.19,W 33 St & 7 Ave,6594.06,40.7553,-73.9868,40.7502,-73.9908,member
R90400002,classic_bike,2026-08-17 00:43:25,2026-08-17 00:49:44,W 20 St & 11 Ave,5160.04,8 Ave & W 31 St,6359.12,40.7465,-74.0077,40.7505,-73.9947,casual
R90400003,electric_bike,2026-08-17 01:25:14,2026-08-17 01:34:24,1 Ave & E 68 St,6056.19,E 47 St & Park Ave,6462.07,40.7651,-73.9582,40.7550,-73.9750,member
R90400004,classic_bike,2026-08-17 02:44:00,2026-08-17 03:06:04,Lafayette St & E 8 St,5906.08,Broadway & Battery Pl,6881.14,40.7302,-73.9911,40.7045,-74.0136,member
R90400005,classic_bike,2026-08-17 04:13:52,2026-08-17 04:37:27,W 33 St & 7 Ave,6594.06,West St & Chambers St,6917.09,40.7502,-73.9908,40.7175,-74.0132,casual
R90400006,electric_bike,2026-08-17 04:21:51,2026-08-17 04:31:39,University Pl & E 14 St,5183.03,E 7 St & Avenue A,5428.06,40.7349,-73.9922,40.7263,-73.9838,casual
R90400009,electric_bike,2026-08-17 05:05:52,2026-08-17 05:14:13,W 26 St & 8 Ave,6253.07,Christopher St & Greenwich St,6202.07,40.7472,-73.9973,40.7329,-74.0071,casual
R90400007,electric_bike,2026-08-17 05:29:38,2026-08-17 05:41:53,E 7 St & Avenue A,5428.06,W 17 St & 8 Ave,5891.11,40.7263,-73.9838,40.7418,-74.0015,casual
R90400011,classic_bike,2026-08-17 05:37:26,2026-08-17 05:47:02,W 33 St & 7 Ave,6594.06,Pershing  Square North,6711.03,40.7502,-73.9908,40.7518,-73.9778,casual
R90400008,classic_bike,2026-08-17 05:51:50,2026-08-17 05:59:48,W 20 St & 11 Ave,5160.04,W 17 St & 8 Ave,5891.11,40.7465,-74.0077,40.7418,-74.0015,casual
R90400010,electric_bike,2026-08-17 05:52:17,2026-08-17 06:01:00,W 26 St & 8 Ave,6253.07,Broadway & W 41 St,6732.19,40.7472,-73.9973,40.7553,-73.9868,member
R90400017,electric_bike,2026-08-17 06:02:05,2026-08-17 06:13:15,W 21 St & 6 Ave,6173.11,Pershing Square North,6711.03,40.7417,-73.9942,40.7518,-73.9778,member
R90400030,classic_bike,2026-08-17 06:05:07,2026-08-17 06:19:16,Lexington Ave & E 63 St,5734.15,Pershing Square North,6711.03,40.7642,-73.9660,40.7518,-73.9778,member
R90400029,classic_bike,2026-08-17 06:05:39,2026-08-17 06:16:50,Lexington Ave & E 63 St,5734.15,W 41 St & 8 Ave,254,40.7642,-73.9660,40.7562,-73.9901,member
R90400019,classic_bike,2026-08-17 06:07:47,2026-08-17 06:15:25,Lexington Ave & E 63 St,5734.15,1 Ave & E 68 St,6056.19,40.7642,-73.9660,40.7651,-73.9582,casual
R90400025,classic_bike,2026-08-17 06:08:25,2026-08-17 06:20:53,w 26 st & 8 ave,6253.07,Pershing Square North,6711.03,40.7472,-73.9973,40.7518,-73.9778,member
R90400014,classic_bike,2026-08-17 06:12:41,2026-08-17 06:24:07,University Pl & E 14 St,5183.03,W 33 St & 7 Ave,6594.06,40.7349,-73.9922,40.7502,-73.9908,casual
R90400023,classic_bike,2026-08-17 06:12:44,2026-08-17 06:40:18,Christopher St & Greenwich St,6202.07,Pershing Square North,6711.03,40.7329,-74.0071,40.7518,-73.9778,member
R90400013,electric_bike,2026-08-17 06:24:14,2026-08-17 06:34:50,Christopher St & Greenwich St,6202.07,Vesey Pl & River Terrace,6741.09,40.7329,-74.0071,40.7153,-74.0163,casual
R90400027,classic_bike,2026-08-17 06:29:53,2026-08-17 06:50:14,E 17 St & Broadway,5307.10,W 41 St & 8 Ave,6419.19,40.7371,-73.9902,40.7562,-73.9901,member
R90400026,classic_bike,2026-08-17 06:35:02,2026-08-17 06:44:19,Vesey Pl & River Terrace,6741.09,South End Ave & Liberty St,259,40.7153,-74.0163,40.7112,-74.0158,member
R90400015,classic_bike,2026-08-17 06:40:33,2026-08-17 06:50:55,Broadway & W 41 St,6732.19,E 43 St & Vanderbilt Ave,6741.16,40.7553,-73.9868,40.7530,-73.9774,member
R90400018,electric_bike,2026-08-17 06:43:22,2026-08-17 06:57:42,1 Ave & E 68 St,6056.19,W 41 St & 8 Ave,6419.19,40.7651,-73.9582,40.7562,-73.9901,member
