station_name,snapshot_time,bikes_available,docks_available,capacity
W 41 St & 8 Ave,2026-08-17T00:59:00,28,27,55
Pershing Square North,2026-08-17T00:59:00,31,29,
E 47 St & Park Ave,2026-08-17T00:59:00,19,21,40
Broadway & W 41 St,2026-08-17T00:59:00,21,24,45
W 33 St & 7 Ave,2026-08-17T00:59:00,26,24,50
6 Ave & W 33 St,2026-08-17T00:59:00,19,16,35
e 43 st & vanderbilt ave,2026-08-17T00:59:00,21,19,40
W 45 St & 6 Ave,2026-08-17T00:59:00,18,17,35
w 21 st & 6 ave,2026-08-17T00:59:00,23,22,45
8 Ave & W 31 St,2026-08-17T00:59:00,25,25,50
W 20 St & 11 Ave,2026-08-17T00:59:00,15,15,30
W 26 St & 8 Ave,2026-08-17T00:59:00,18,17,35
W 17 St & 8 Ave,2026-08-17T00:59:00,19,21,40
9 ave & w 22 st,2026-08-17T00:59:00,14,16,30
Broadway & E 14 St,2026-08-17T00:59:00,24,26,50
Lafayette St & E 8 St,2026-08-17T00:59:00,22,23,45
E 17 St & Broadway,2026-08-17T00:59:00,20,20,40
University Pl & E 14 St,2026-08-17T00:59:00,18,17,35
Carmine St & 6 Ave,2026-08-17T00:59:00,15,15,30
Christopher St & Greenwich St,2026-08-17T00:59:00,14,16,30
E 7 St & Avenue A,2026-08-17T00:59:00,19,16,35
West  St & Chambers St,2026-08-17T00:59:00,23,22,45
South End Ave & Liberty St,2026-08-17T00:59:00,18,17,35
Vesey Pl & River Terrace,2026-08-17T00:59:00,21,19,40
Cleveland Pl & Spring St,2026-08-17T00:59:00,17,18,35
Broadway & Battery Pl,2026-08-17T00:59:00,21,19,40
1 Ave & E 68 St,2026-08-17T00:59:00,21,19,40
E 72 St & York Ave,2026-08-17T00:59:00,18,17,35
Lexington Ave & E 63 St,2026-08-17T00:59:00,18,17,35
E 75 St & 3 Ave,2026-08-17T00:59:00,16,14,
W 41 St & 8 Ave,2026-08-17T01:59:00,28,27,55
Pershing Square North,2026-08-17T01:59:00,31,29,60
E 47 St & Park Ave,2026-08-17T01:59:00,20,20,40
Broadway & W 41 St,2026-08-17T01:59:00,21,24,45
W 33 St & 7 Ave,2026-08-17T01:59:00,25,25,50
6 Ave & W 33 St,2026-08-17T01:59:00,18,17,35
E 43 St & Vanderbilt Ave,2026-08-17T01:59:00,20,20,40
W 45 St & 6 Ave,2026-08-17T01:59:00,18,17,35
W 21 St & 6 Ave,2026-08-17T01:59:00,24,21,45
8 Ave & W 31 St,2026-08-17T01:59:00,24,26,50
W 20 St & 11 Ave,2026-08-17T01:59:00,15,15,
W 26 St & 8 Ave,2026-08-17T01:59:00,18,17,35
W 17 St & 8 Ave,2026-08-17T01:59:00,19,21,40
9 Ave & W 22 St,2026-08-17T01:59:00,15,15,30
Broadway & E 14 St,2026-08-17T01:59:00,25,25,50
Lafayette  St & E 8 St,2026-08-17T01:59:00,23,22,45
E 17 St & Broadway,2026-08-17T01:59:00,20,20,40
University Pl & E 14 St,2026-08-17T01:59:00,18,17,35
Carmine St & 6 Ave,2026-08-17T01:59:00,15,15,30
Christopher St & Greenwich St,2026-08-17T01:59:00,14,16,30
E 7 St & Avenue A,2026-08-17T01:59:00,19,16,35
West St & Chambers St,2026-08-17T01:59:00,23,22,45
South End Ave & Liberty St,2026-08-17T01:59:00,18,17,35
Vesey Pl and River Terrace,2026-08-17T01:59:00,22,18,40
Cleveland Pl & Spring St,2026-08-17T01:59:00,17,18,35
broadway & battery pl,2026-08-17T01:59:00,21,19,
1 Ave & E 68 St,2026-08-17T01:59:00,20,20,
E 72 St & York Ave,2026-08-17T01:59:00,19,16,35
Lexington Ave & E 63 St,2026-08-17T01:59:00,18,17,35
E 75 St & 3 Ave,2026-08-17T01:59:00,16,14,30
W 41 St & 8 Ave,2026-08-17T02:59:00,28,27,55
Pershing Square North,2026-08-17T02:59:00,31,29,60
E 47 St & Park Ave,2026-08-17T02:59:00,20,20,40
Broadway & W 41 St,2026-08-17T02:59:00,21,24,45
W 33 St & 7 Ave,2026-08-17T02:59:00,25,25,50
6 Ave & W 33 St,2026-08-17T02:59:00,17,18,35
E 43 St & Vanderbilt Ave,2026-08-17T02:59:00,19,21,40
W 45 St & 6 Ave,2026-08-17T02:59:00,18,17,35
W 21 St & 6 Ave,2026-08-17T02:59:00,25,20,45
8 Ave & W 31 St,2026-08-17T02:59:00,24,26,50
W 20 St & 11 Ave,2026-08-17T02:59:00,16,14,30
W 26 St & 8 Ave,2026-08-17T02:59:00,17,18,35
W 17 St & 8 Ave,2026-08-17T02:59:00,19,21,40
9 Ave & W 22 St,2026-08-17T02:59:00,15,15,30
Broadway & E 14 St,2026-08-17T02:59:00,25,25,50
Lafayette St & E 8 St,2026-08-17T02:59:00,24,21,45
e 17 st & broadway,2026-08-17T02:59:00,20,20,40
University Pl & E 14 St,2026-08-17T02:59:00,16,19,35
Carmine St & 6 Ave,2026-08-17T02:59:00,15,15,30
Christopher St & Greenwich St,2026-08-17T02:59:00,13,17,30
E 7 St & Avenue A,2026-08-17T02:59:00,21,14,35
West St & Chambers St,2026-08-17T02:59:00,23,22,45
South End Ave & Liberty St,2026-08-17T02:59:00,18,17,35
Vesey Pl & River Terrace,2026-08-17T02:59:00,22,18,40
Cleveland Pl & Spring St,2026-08-17T02:59:00,17,18,35
Broadway & Battery Pl,2026-08-17T02:59:00,21,19,40
1 Ave & E 68 St,2026-08-17T02:59:00,19,21,40
E 72 St & York Ave,2026-08-17T02:59:00,19,16,35
Lexington Ave & E 63 St,2026-08-17T02:59:00,18,17,35
E 75 St & 3 Ave,2026-08-17T02:59:00,16,14,30
W 41 St & 8 Ave,2026-08-17T03:59:00,27,28,55
Pershing Square North,2026-08-17T03:59:00,35,25,60
E 47 St & Park Ave,2026-08-17T03:59:00,21,19,40
